name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Punjab,2022-09-30,33,24.5,28.2,42,24.5,31.9,25.1,84.3,1.4,100,4.17,rain,0,0,29.9,9.7,311.1,1006.1,33.7,20.6,213,18.4,8,30,2022-09-30T06:19:21,2022-09-30T18:13:37,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-01,34.2,24.6,28.6,41.1,24.6,31.9,24.6,80.8,0.6,100,8.33,rain,0,0,21.2,9.4,65.7,1005,10.8,20.5,217.2,18.9,8,30,2022-10-01T06:19:57,2022-10-01T18:12:22,0.19,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-02,34,24.2,28.2,40.3,24.2,30.7,24.1,80.3,0,0,0,,0,0,24.1,13.3,146.5,1005.6,16.8,20.6,225.2,19.5,8,30,2022-10-02T06:20:33,2022-10-02T18:11:07,0.23,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-03,34,23.5,28.2,38.5,23.5,30.5,23.2,76.3,0,0,0,,0,0,24.8,11.9,300.1,1006.4,2.1,20.6,230.8,20,8,10,2022-10-03T06:21:10,2022-10-03T18:09:52,0.25,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-04,34.3,22.6,28.2,39.1,22.6,30.7,22.9,75.1,0,0,0,,0,0,23.8,11.2,314.1,1008.3,1.7,20.8,228.5,19.8,8,10,2022-10-04T06:21:47,2022-10-04T18:08:38,0.3,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-05,34,22.1,27.9,38.6,22.1,29.9,22.7,75.7,0,0,0,,0,0,18,7.9,250.5,1007.3,1.7,20.6,227.8,19.7,8,10,2022-10-05T06:22:24,2022-10-05T18:07:24,0.34,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-06,32.4,23.2,27.1,37.1,23.2,29.1,23.1,80.1,0.1,100,4.17,rain,0,0,24.5,14,139.3,1008.2,19.6,20.8,208.5,17.9,8,30,2022-10-06T06:23:02,2022-10-06T18:06:10,0.37,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-07,30.1,23.3,26.3,34.4,23.3,27.8,23,82.9,0.6,100,20.83,rain,0,0,19.8,10.8,132.4,1010,30.5,20.8,183,15.9,7,10,2022-10-07T06:23:40,2022-10-07T18:04:57,0.41,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-08,29.4,23.3,25.8,33.1,23.3,27,22.8,84.3,1.8,100,16.67,rain,0,0,20.9,10.8,146.6,1010.8,47.8,20.4,159.3,13.6,6,10,2022-10-08T06:24:18,2022-10-08T18:03:45,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-09,30.2,22.4,25.8,34.1,22.4,27.1,22.3,82.2,0.3,100,8.33,rain,0,0,25.6,9.4,115.6,1010.4,34,20,173.7,15,7,10,2022-10-09T06:24:56,2022-10-09T18:02:33,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-10,27,22.6,24.7,29.5,22.6,25,22,85.5,1.8,100,50,rain,0,0,20.5,9.2,309.7,1011.7,54.8,20.3,122.8,10.5,5,10,2022-10-10T06:25:35,2022-10-10T18:01:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-11,27.5,20.3,23.2,29.8,20.3,23.4,20.4,85.5,6.5,100,70.83,rain,0,0,18,8.3,87.9,1010.5,38.8,20.6,161.5,13.8,6,30,2022-10-11T06:26:14,2022-10-11T18:00:11,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-12,29.9,18.5,23.3,31.1,18.5,23.7,19.2,80.4,0.3,100,4.17,rain,0,0,23,7.9,346,1011.3,6.4,20.8,201.1,17.3,8,30,2022-10-12T06:26:53,2022-10-12T17:59:01,0.58,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-13,30.9,18.6,24.2,32.6,18.6,24.7,19.7,78.6,0.1,100,4.17,rain,0,0,27,11.5,312.3,1011.8,22,20.8,215,18.7,8,10,2022-10-13T06:27:33,2022-10-13T17:57:51,0.61,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-14,31.1,18.6,24.5,32.9,18.6,25.1,19.7,77.1,0,0,0,,0,0,27,13,319.9,1011.8,2.9,20.7,212.4,18.2,8,10,2022-10-14T06:28:13,2022-10-14T17:56:42,0.64,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-15,31.7,19,25,32.7,19,25.5,19.4,74.2,0,0,0,,0,0,22.3,9.7,291.7,1010.9,4.4,20.6,214.5,18.5,8,10,2022-10-15T06:28:54,2022-10-15T17:55:34,0.67,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-16,32.3,20,25.7,32.9,20,26.1,19.2,70,0,0,0,,0,0,18,7.2,229.9,1013.1,11.8,20.6,212.7,18.1,8,10,2022-10-16T06:29:35,2022-10-16T17:54:27,0.71,Clear,Clear conditions throughout the day.,clear-day,"42099099999,remote"
Punjab,2022-10-17,32.1,20.7,25.3,32.7,20.7,25.7,18.7,69.2,0,0,0,,0,0,18.4,8.6,257,1013,2.3,21.5,211.2,18,8,10,2022-10-17T06:30:16,2022-10-17T17:53:20,0.75,Clear,Clear conditions throughout the day.,clear-day,"42099099999,remote"
Punjab,2022-10-18,31.9,20.8,25.1,32.7,20.8,25.4,17.9,66.4,0,0,0,,0,0,21.6,7.9,95.1,1011.3,11.7,20.7,207.9,17.9,7,10,2022-10-18T06:30:58,2022-10-18T17:52:14,0.77,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-19,31.5,18.6,24.1,32.8,18.6,24.5,18.4,72.4,0,0,0,,0,0,27,11.9,105.7,1011.3,6.7,20.5,205.9,17.8,7,10,2022-10-19T06:31:40,2022-10-19T17:51:09,0.8,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-20,30.7,19.1,24,30.6,19.1,24.2,18.1,71.9,0.1,100,4.17,rain,0,0,38.5,18.4,119.6,1012.7,40.9,20.7,169.2,14.6,7,30,2022-10-20T06:32:22,2022-10-20T17:50:05,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-10-21,31.4,17.9,23.3,31.5,17.9,23.5,17.4,72.7,0,0,0,,0,0,20.2,8.6,58.7,1015.5,13.4,20.8,204.6,17.9,7,10,2022-10-21T06:33:05,2022-10-21T17:49:02,0.87,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-22,30.5,17.5,22.7,30.1,17.5,22.7,16.1,68.9,0,0,0,,0,0,17.3,9.7,308.7,1016.6,0.4,20.5,207.7,18,7,10,2022-10-22T06:33:49,2022-10-22T17:48:00,0.9,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-23,30.7,15.9,22.2,30.1,15.9,22.1,16,71.7,0,0,0,,0,0,16.2,10.1,323.4,1015.7,0,20.6,207.5,18,7,10,2022-10-23T06:34:32,2022-10-23T17:46:58,0.93,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-24,30.7,15.4,21.8,29.6,15.4,21.8,15.3,70.2,0,0,0,,0,0,22,10.4,311.5,1011.5,0,20.6,206.9,17.9,7,10,2022-10-24T06:35:16,2022-10-24T17:45:58,0.96,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-25,30.1,14.9,21.7,29.4,14.9,21.7,15.2,70.1,0,0,0,,0,0,24.1,11.2,319.6,1008.9,0.4,20.5,204.1,17.7,7,10,2022-10-25T06:36:01,2022-10-25T17:44:59,0,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-26,31,16.8,23,30.8,16.8,23.2,16.5,69,0,0,0,,0,0,15.5,6.5,305,1012.5,4.4,20.5,201.7,17.3,7,10,2022-10-26T06:36:46,2022-10-26T17:44:01,0.03,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-27,30.9,17.4,23.4,30.5,17.4,23.4,16.5,68,0,0,0,,0,0,20.2,8.6,324.1,1012.8,0,20.6,199.3,17.3,7,10,2022-10-27T06:37:31,2022-10-27T17:43:03,0.06,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-28,30.5,17.6,23.1,30.7,17.6,23.3,17.6,73.2,0,0,0,,0,0,19.1,9.4,305.3,1013,0.1,20.3,196.8,16.9,7,10,2022-10-28T06:38:17,2022-10-28T17:42:07,0.1,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-29,30.3,16,22.7,30.5,16,23,17.2,73.8,0,0,0,,0,0,18.4,7.6,284,1013.6,4.6,20.4,196.1,16.8,7,10,2022-10-29T06:39:03,2022-10-29T17:41:12,0.14,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-30,30.5,18.6,23.6,30.9,18.6,23.8,17.7,71.6,0,0,0,,0,0,22.3,9.7,334.9,1014.3,5.5,20.3,192,16.6,7,10,2022-10-30T06:39:50,2022-10-30T17:40:19,0.17,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-10-31,30.3,18,23.5,30.9,18,23.9,17.9,72.6,0,0,0,,0,0,15.5,7.6,122.1,1013.7,0.1,20.4,188.9,16.3,7,10,2022-10-31T06:40:37,2022-10-31T17:39:26,0.21,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-01,30.8,17.7,23.2,31.6,17.7,23.5,17.8,73.9,0,0,0,,0,0,20.9,8.3,104.2,1013.7,8.3,20.3,182.3,15.8,7,10,2022-11-01T06:41:24,2022-11-01T17:38:35,0.25,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-02,29.6,18.4,22.9,30.2,18.4,23.1,17.8,74.6,0,0,0,,0,0,26.3,12.2,323.8,1013.2,19,20.3,184.9,16,7,10,2022-11-02T06:42:12,2022-11-02T17:37:45,0.28,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-03,29.3,16.2,22.1,29.5,16.2,22.2,17,75.4,0,0,0,,0,0,21.2,9.7,299.3,1011.6,27.6,20.4,172.8,15.1,6,10,2022-11-03T06:43:00,2022-11-03T17:36:56,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-11-04,30,18.9,22.8,30.6,18.9,23,17.7,74.7,0,0,0,,0,0,16.2,7.2,65,1013.1,44.8,20.4,176,15.1,6,10,2022-11-04T06:43:49,2022-11-04T17:36:08,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-11-05,30.1,17.8,22.3,31.6,17.8,22.5,18.3,79.4,6.8,100,12.5,rain,0,0,34.9,11.9,118.9,1014.9,24.4,20.3,166.8,14.4,7,10,2022-11-05T06:44:37,2022-11-05T17:35:22,0.39,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-11-06,29.4,18.8,23.5,29.9,18.8,23.8,17.9,72.6,0,0,0,,0,0,29.9,12.6,94.3,1015.5,69.1,20.5,165,14.1,6,10,2022-11-06T06:45:27,2022-11-06T17:34:37,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-11-07,29.4,19.6,23.1,31.4,19.6,23.4,19.4,81.5,0.8,100,8.33,rain,0,0,21.2,10.8,137.6,1014.9,51.9,20.3,166.3,14.4,7,30,2022-11-07T06:46:16,2022-11-07T17:33:54,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-11-08,27.5,17,21.2,28.5,17,21.2,18.2,84.6,0.4,100,4.17,rain,0,0,16.6,7.9,289.1,1015.7,54.6,20.2,169.6,14.7,7,10,2022-11-08T06:47:06,2022-11-08T17:33:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-11-09,27.1,17.5,21,27.8,17.5,21,17.5,81.9,11.6,100,20.83,rain,0,0,28.4,7.6,331.5,1015.8,44.7,20.1,153.5,13.1,6,10,2022-11-09T06:47:56,2022-11-09T17:32:31,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-11-10,26.6,16.5,20.1,26.6,16.5,20.1,15.3,76.3,0.5,100,4.17,rain,0,0,19.4,8.3,339.7,1017.3,31.4,20.5,169.1,14.5,7,10,2022-11-10T06:48:46,2022-11-10T17:31:52,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-11-11,27.2,14.2,19.2,26.9,14.2,19.1,12.8,70.2,0,0,0,,0,0,24.8,11.9,318.2,1017.4,0,20.6,178.2,15.4,7,10,2022-11-11T06:49:37,2022-11-11T17:31:14,0.59,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-12,26.7,13.5,18.4,26.7,13.5,18.4,11.2,67.5,0,0,0,,0,0,25.9,11.5,316.1,1016.7,0.4,20.5,180.3,15.6,7,10,2022-11-12T06:50:28,2022-11-12T17:30:38,0.62,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-13,26.9,11.9,18.5,26.7,11.9,18.4,11.4,68.2,0,0,0,,0,0,22.7,9,319.5,1015,40.6,20.6,165.3,14.2,7,10,2022-11-13T06:51:19,2022-11-13T17:30:04,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-11-14,23.1,16.5,19.2,23.1,16.5,19.2,13.3,69.5,0.2,100,4.17,rain,0,0,27.4,14,90.2,1016.2,68.3,20.5,104.1,8.8,4,10,2022-11-14T06:52:10,2022-11-14T17:29:30,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-11-15,26.3,14.6,19.2,26.3,14.6,19.2,14.2,74.9,0,0,0,,0,0,16.2,9,295.3,1016,18.7,20.6,161.2,14,6,10,2022-11-15T06:53:01,2022-11-15T17:28:59,0.72,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-16,24.9,13.9,18,24.9,13.9,18,13.3,76.4,0,0,0,,0,0,22.7,10.4,300.6,1015,5.9,20.5,170.6,14.9,7,10,2022-11-16T06:53:53,2022-11-16T17:28:29,0.75,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-17,24.6,13.1,17.3,24.6,13.1,17.3,12.4,75.9,0,0,0,,0,0,27.4,12.6,317.2,1014.7,1.7,20.6,172.3,15,7,10,2022-11-17T06:54:44,2022-11-17T17:28:01,0.78,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-18,25.7,10.9,16.8,25.7,10.9,16.8,11.6,75.5,0,0,0,,0,0,20.9,9.4,303.3,1015.4,23.3,20.5,172.7,14.9,7,10,2022-11-18T06:55:36,2022-11-18T17:27:34,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-11-19,25.7,11.7,17.1,25.7,11.7,17.1,11.8,75,0,0,0,,0,0,18.4,8.3,328,1016.9,43.3,20.5,169.1,14.6,6,10,2022-11-19T06:56:28,2022-11-19T17:27:09,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-11-20,26.4,11.8,17.3,26.4,11.8,17.3,11.6,73.5,0,0,0,,0,0,23.4,11.9,315.5,1015.4,3.1,20.5,169.9,14.7,6,10,2022-11-20T06:57:19,2022-11-20T17:26:46,0.88,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-11-21,26.1,11.5,17,26.1,11.5,17,11.3,73.1,0,0,0,,0,0,23,11.2,302.9,1014.2,3.2,20.6,169,14.7,6,10,2022-11-21T06:58:11,2022-11-21T17:26:24,0.91,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
